계약번호,단계,순서,작업명,담당자,계획일,실제완료일,상태,결과메모
C0022,계약전,1,구매요청(PR) 등록,김구매,2026-04-14,2026-04-13,완료,
C0022,계약전,2,견적비교(RFQ),이조달,2026-04-16,2026-04-17,완료,
C0022,계약전,3,공급업체 선정,정검수,2026-04-18,2026-04-18,완료,
C0022,계약체결,1,계약서 초안 작성,이조달,2026-05-12,2026-05-14,완료,
C0022,계약체결,2,법무검토,김구매,2026-05-14,2026-05-14,완료,
C0022,계약체결,3,계약이행보증 가입확인,최법무,2026-05-16,2026-05-16,완료,가입완료
C0022,계약체결,4,선급금보증 가입확인,박계약,2026-05-18,2026-05-19,완료,가입완료
C0022,계약체결,5,날인/계약등록,김구매,2026-05-20,2026-05-20,완료,
C0022,이행,1,발주(PO) 발행,김구매,2026-08-06,,진행중,
C0022,이행,2,납품/검수,정검수,2026-08-08,,진행중,
C0022,이행,3,대금지급,김구매,2026-08-10,,진행중,
C0022,종료,1,최종정산,김구매,2026-11-28,,예정,
C0022,종료,2,하자보증기간 관리,이조달,2026-11-30,,예정,
C0022,종료,3,실적증명서 수취,최법무,2026-11-29,2026-11-29,완료,해당없음(민간발주)
C0022,종료,4,갱신여부 판단,정검수,2026-12-04,,예정,
C0022,종료,5,계약종료처리,김구매,2026-12-06,,예정,
C0023,계약전,1,구매요청(PR) 등록,김구매,2025-12-15,2025-12-13,완료,
C0023,계약전,2,견적비교(RFQ),최법무,2025-12-17,2025-12-19,완료,
C0023,계약전,3,공급업체 선정,정검수,2025-12-19,2025-12-20,완료,
C0023,계약체결,1,계약서 초안 작성,이조달,2026-01-13,2026-01-11,완료,
C0023,계약체결,2,법무검토,최법무,2026-01-15,2026-01-13,완료,
C0023,계약체결,3,계약이행보증 가입확인,박계약,2026-01-17,2026-01-18,완료,가입완료
C0023,계약체결,4,선급금보증 가입확인,박계약,2026-01-19,2026-01-20,완료,가입완료
C0023,계약체결,5,날인/계약등록,박계약,2026-01-21,2026-01-20,완료,
C0023,이행,1,발주(PO) 발행,이조달,2026-06-25,2026-06-27,완료,
C0023,이행,2,납품/검수,최법무,2026-06-27,2026-06-29,완료,
C0023,이행,3,대금지급,정검수,2026-06-29,2026-06-29,완료,
C0023,종료,1,최종정산,이조달,2027-02-16,,예정,
C0023,종료,2,하자보증기간 관리,이조달,2027-02-18,,예정,
C0023,종료,3,실적증명서 수취,김구매,2027-02-17,2027-02-17,완료,해당없음(민간발주)
C0023,종료,4,갱신여부 판단,박계약,2027-02-22,,예정,
C0023,종료,5,계약종료처리,김구매,2027-02-24,,예정,
C0024,계약전,1,구매요청(PR) 등록,최법무,2026-06-16,2026-06-16,완료,
C0024,계약전,2,견적비교(RFQ),박계약,2026-06-18,2026-06-20,완료,
C0024,계약전,3,공급업체 선정,김구매,2026-06-20,2026-06-21,완료,
C0024,계약체결,1,계약서 초안 작성,박계약,2026-07-23,2026-07-21,완료,
C0024,계약체결,2,법무검토,최법무,2026-07-25,2026-07-26,완료,
C0024,계약체결,3,계약이행보증 가입확인,김구매,2026-07-27,2026-07-27,완료,가입완료
C0024,계약체결,4,선급금보증 가입확인,이조달,2026-07-25,2026-07-25,완료,해당없음(선급금 미지급)
C0024,계약체결,5,날인/계약등록,최법무,2026-07-31,,진행중,
C0024,이행,1,발주(PO) 발행,김구매,2026-11-09,,예정,
C0024,이행,2,납품/검수,박계약,2026-11-11,,예정,
C0024,이행,3,대금지급,박계약,2026-11-13,,예정,
C0024,종료,1,최종정산,이조달,2027-04-17,,예정,
C0024,종료,2,하자보증기간 관리,김구매,2027-04-19,,예정,
C0024,종료,3,실적증명서 수취,정검수,2027-04-18,2027-04-18,완료,해당없음(민간발주)
C0024,종료,4,갱신여부 판단,김구매,2027-04-23,,예정,
C0024,종료,5,계약종료처리,이조달,2027-04-25,,예정,
C0025,계약전,1,구매요청(PR) 등록,박계약,2026-05-03,2026-05-02,완료,
C0025,계약전,2,견적비교(RFQ),정검수,2026-05-05,2026-05-07,완료,
C0025,계약전,3,공급업체 선정,최법무,2026-05-07,2026-05-07,완료,
C0025,계약체결,1,계약서 초안 작성,정검수,2026-05-25,2026-05-24,완료,
C0025,계약체결,2,법무검토,최법무,2026-05-27,2026-05-26,완료,
C0025,계약체결,3,계약이행보증 가입확인,최법무,2026-05-29,2026-05-29,완료,가입완료
C0025,계약체결,4,선급금보증 가입확인,정검수,2026-05-27,2026-05-27,완료,해당없음(선급금 미지급)
C0025,계약체결,5,날인/계약등록,최법무,2026-06-02,2026-06-02,완료,
C0025,이행,1,발주(PO) 발행,정검수,2026-11-09,,예정,
C0025,이행,2,납품/검수,정검수,2026-11-11,,예정,
C0025,이행,3,대금지급,정검수,2026-11-13,,예정,
C0025,종료,1,최종정산,김구매,2027-07-06,,예정,
C0025,종료,2,하자보증기간 관리,정검수,2027-07-08,,예정,
C0025,종료,3,실적증명서 수취,김구매,2027-07-07,2027-07-07,완료,해당없음(민간발주)
C0025,종료,4,갱신여부 판단,박계약,2027-07-12,,예정,
C0025,종료,5,계약종료처리,정검수,2027-07-14,,예정,
C0026,계약전,1,구매요청(PR) 등록,이조달,2026-10-20,,예정,
C0026,계약전,2,견적비교(RFQ),최법무,2026-10-22,,예정,
C0026,계약전,3,공급업체 선정,정검수,2026-10-24,,예정,
C0026,계약체결,1,계약서 초안 작성,김구매,2026-11-21,,예정,
C0026,계약체결,2,법무검토,최법무,2026-11-23,,예정,
C0026,계약체결,3,계약이행보증 가입확인,이조달,2026-11-25,,예정,가입완료
C0026,계약체결,4,선급금보증 가입확인,김구매,2026-11-23,2026-11-23,완료,해당없음(선급금 미지급)
C0026,계약체결,5,날인/계약등록,최법무,2026-11-29,,예정,
C0026,이행,1,발주(PO) 발행,정검수,2027-03-18,,예정,
C0026,이행,2,납품/검수,김구매,2027-03-20,,예정,
C0026,이행,3,대금지급,이조달,2027-03-22,,예정,
C0026,종료,1,최종정산,정검수,2027-09-04,,예정,
C0026,종료,2,하자보증기간 관리,정검수,2027-09-06,,예정,
C0026,종료,3,실적증명서 수취,최법무,2027-09-05,2027-09-05,완료,해당없음(민간발주)
C0026,종료,4,갱신여부 판단,최법무,2027-09-10,,예정,
C0026,종료,5,계약종료처리,이조달,2027-09-12,,예정,
C0027,계약전,1,구매요청(PR) 등록,박계약,2027-05-01,,예정,
C0027,계약전,2,견적비교(RFQ),이조달,2027-05-03,,예정,
C0027,계약전,3,공급업체 선정,김구매,2027-05-05,,예정,
C0027,계약체결,1,계약서 초안 작성,최법무,2027-05-22,,예정,
C0027,계약체결,2,법무검토,김구매,2027-05-24,,예정,
C0027,계약체결,3,계약이행보증 가입확인,김구매,2027-05-26,,예정,가입완료
C0027,계약체결,4,선급금보증 가입확인,최법무,2027-05-24,2027-05-24,완료,해당없음(선급금 미지급)
C0027,계약체결,5,날인/계약등록,이조달,2027-05-30,,예정,
C0027,이행,1,발주(PO) 발행,최법무,2027-08-16,,예정,
C0027,이행,2,납품/검수,정검수,2027-08-18,,예정,
C0027,이행,3,대금지급,정검수,2027-08-20,,예정,
C0027,종료,1,최종정산,정검수,2027-12-13,,예정,
C0027,종료,2,하자보증기간 관리,이조달,2027-12-15,,예정,
C0027,종료,3,실적증명서 수취,이조달,2027-12-14,2027-12-14,완료,해당없음(민간발주)
C0027,종료,4,갱신여부 판단,김구매,2027-12-19,,예정,
C0027,종료,5,계약종료처리,이조달,2027-12-21,,예정,
